Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),Largest Cavity Diameter,Largest Free Sphere,PLD
168.93421,2.22,3.1,21.8,99,2.80317,2.80317,Small
173.04,2.22,3.1,21,-2,2.95629,2.95629,Small
174.967,2.17,3.1,21.9,33,2.95946,2.95946,Small
140.115,1.85,3.1,29.6,635,,,Small
151.965,2.31,3.1,27.7,83,5.5583,5.5583,Large
158.92534,2.25,3.1,25.5,112,5.37255,5.37255,Large
162.5,2.28,3.1,24.5,34,5.35684,5.27711,Large
157.25,2.33,3.1,23.5,13,5.37591,5.37482,Large
112.411,1.61,4.33,7.2,-70,,,Small
54.93805,1.61,3.72,9.4,-50,5.51026,5.5097,Large
65.39,1.42,4.45,6.4,-60,2.81256,2.77986,Small
107.8682,1.65,4.44,7.9,126,,,Small
238.0289,1.75,3.4,27.4,51,1.50064,1.50064,Small
157.25,2.33,3.1,23.5,13,2.54068,2.54068,Small
58.9332,1.52,4.3,7.5,64,4.21267,4.21267,Small
58.9332,1.52,4.3,7.5,64,4.38344,4.38344,Large
140.90765,2.47,3.1,28.2,93,,,Small
63.546,1.45,4.48,6.7,119,26.72577,26.72577,Large
58.9332,1.52,4.3,7.5,64,2.54276,2.53044,Small
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,,,Small
140.115,1.85,3.1,29.6,635,,,Small
140.90765,2.47,3.1,28.2,93,,,Small
207.2,1.54,3.9,6.8,34,1.43772,1.42059,Small
138.9055,1.95,3.1,31.1,45,5.79796,5.79761,Large
140.115,1.85,3.1,29.6,635,5.82185,5.82185,Large
65.39,1.42,4.45,6.4,-60,6.55468,6.54007,Large
58.9332,1.52,4.3,7.5,64,,,Small
54.93805,1.61,3.72,9.4,-50,4.93501,4.9302,Large
150.36,2.38,3.1,28.8,16,5.63881,5.63731,Large
158.92534,2.25,3.1,25.5,112,5.92046,5.90323,Large
158.92534,2.25,3.1,25.5,112,8.11197,8.1065,Large
162.5,2.28,3.1,24.5,34,8.82584,8.82584,Large
164.93032,2.26,3.1,23.6,33,8.33004,8.30636,Large
167.26,2.26,3.1,22.7,30,8.09188,8.09188,Large
63.546,1.45,4.48,6.7,119,7.46468,5.63102,Small
63.546,1.45,4.48,6.7,119,6.25638,6.25638,Small
63.546,1.45,4.48,6.7,119,7.09494,7.09494,Small
63.546,1.45,4.48,6.7,119,11.00022,10.96834,Large
65.39,1.42,4.45,6.4,-60,1.75141,1.7384,Small
63.546,1.45,4.48,6.7,119,7.19322,7.19322,Small
63.546,1.45,4.48,6.7,119,7.25807,6.8328,Small
63.546,1.45,4.48,6.7,119,7.03636,7.03636,Small
91.224,2.06,3.64,17.9,41,7.67934,7.67934,Large
91.224,2.06,3.64,17.9,41,7.59349,7.59349,Large
91.224,2.06,3.64,17.9,41,7.65165,7.65165,Large
91.224,2.06,3.64,17.9,41,5.89218,5.81706,Large
91.224,2.06,3.64,17.9,41,18.51108,18.50375,Large
91.224,2.06,3.64,17.9,41,12.98086,12.98086,Large
91.224,2.06,3.64,17.9,41,5.92037,5.7603,Large
91.224,2.06,3.64,17.9,41,7.57568,7.57568,Large
138.9055,1.95,3.1,31.1,45,2.03577,2.03577,Small
151.965,2.31,3.1,27.7,83,1.98059,1.80608,Small
54.93805,1.61,3.72,9.4,-50,1.73551,1.73373,Small
54.93805,1.61,3.72,9.4,-50,1.72519,1.71738,Small
107.8682,1.65,4.44,7.9,126,2.07299,2.01528,Small
158.92534,2.25,3.1,25.5,112,2.82325,2.8096,Small
158.92534,2.25,3.1,25.5,112,2.85372,2.85372,Small
54.93805,1.61,3.72,9.4,-50,6.78872,6.78872,Large
88.90585,2.12,3.19,22.7,30,,,Small
150.36,2.38,3.1,28.8,16,,,Small
158.92534,2.25,3.1,25.5,112,,,Small
157.25,2.33,3.1,23.5,13,,,Small
65.39,1.42,4.45,6.4,-60,7.55519,7.02373,Large
114.818,1.56,3.1,9.7,29,3.43433,3.43433,Large
58.9332,1.52,4.3,7.5,64,2.29562,2.29288,Small
58.9332,1.52,4.3,7.5,64,2.07361,2.07142,Small
65.39,1.42,4.45,6.4,-60,3.07987,2.8762,Small
112.411,1.61,4.33,7.2,-70,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
164.93032,2.26,3.1,23.6,33,3.15979,3.15598,Small
39.0983,2.43,2.42,43.4,48,1.64899,1.51108,Small
85.4678,2.65,2.34,47.3,47,1.9193,1.71059,Small
65.39,1.42,4.45,6.4,-60,3.00504,2.99045,Small
54.93805,1.61,3.72,9.4,-50,1.81528,1.78326,Small
85.4678,2.65,2.34,47.3,47,1.38772,1.3728,Small
132.90543,2.98,2.18,59.6,46,1.89365,1.42989,Small
58.6934,1.49,4.4,6.8,112,1.63253,1.49843,Small
39.0983,2.43,2.42,43.4,48,1.9906,1.98376,Small
63.546,1.45,4.48,6.7,119,5.96594,5.94612,Large
65.39,1.42,4.45,6.4,-60,5.46444,5.0181,Small
138.9055,1.95,3.1,31.1,45,1.96869,1.9612,Small
65.39,1.42,4.45,6.4,-60,2.84686,2.84558,Small
58.9332,1.52,4.3,7.5,64,7.01096,6.97011,Large
58.9332,1.52,4.3,7.5,64,7.17275,7.12246,Large
58.9332,1.52,4.3,7.5,64,7.16908,7.16908,Large
65.39,1.42,4.45,6.4,-60,,,Small
173.04,2.22,3.1,21,-2,2.1278,2.12372,Small
63.546,1.45,4.48,6.7,119,,,Small
151.965,2.31,3.1,27.7,83,3.06129,2.2248,Small
65.39,1.42,4.45,6.4,-60,8.36121,8.30025,Large
22.989768,1.9,2.85,23.6,53,1.37634,1.36646,Small
132.90543,2.98,2.18,59.6,46,1.92877,1.84814,Small
112.411,1.61,4.33,7.2,-70,17.62804,17.62176,Large
207.2,1.54,3.9,6.8,34,17.72431,17.71569,Large
162.5,2.28,3.1,24.5,34,18.07234,18.07234,Large
87.62,2.19,2,27.6,5,1.86067,1.86067,Small
112.411,1.61,4.33,7.2,-70,,,Small
54.93805,1.61,3.72,9.4,-50,4.92609,4.92609,Large
112.411,1.61,4.33,7.2,-70,,,Small
207.2,1.54,3.9,6.8,34,4.78604,4.77507,Large
112.411,1.61,4.33,7.2,-70,7.00253,7.00253,Large
65.39,1.42,4.45,6.4,-60,6.42145,6.42145,Large
39.0983,2.43,2.42,43.4,48,1.66891,1.63375,Small
39.0983,2.43,2.42,43.4,48,3.29205,3.26432,Large
112.411,1.61,4.33,7.2,-70,17.4073,17.39068,Large
112.411,1.61,4.33,7.2,-70,17.54138,17.53992,Large
162.5,2.28,3.1,24.5,34,4.24489,4.24489,Large
151.965,2.31,3.1,27.7,83,4.27547,4.26782,Large
157.25,2.33,3.1,23.5,13,4.27768,4.26868,Large
158.92534,2.25,3.1,25.5,112,4.25992,4.25242,Large
63.546,1.45,4.48,6.7,119,2.43045,2.24267,Small
58.9332,1.52,4.3,7.5,64,2.08383,2.07775,Small
58.9332,1.52,4.3,7.5,64,2.02578,1.92523,Small
65.39,1.42,4.45,6.4,-60,4.81228,4.78711,Large
65.39,1.42,4.45,6.4,-60,4.70243,4.70243,Large
58.9332,1.52,4.3,7.5,64,10.48517,10.48517,Small
65.39,1.42,4.45,6.4,-60,10.82561,9.36373,Large
65.39,1.42,4.45,6.4,-60,9.64892,9.06088,Large
65.39,1.42,4.45,6.4,-60,10.86103,10.86103,Large
65.39,1.42,4.45,6.4,-60,10.83692,10.8108,Large
65.39,1.42,4.45,6.4,-60,10.84567,10.84567,Large
65.39,1.42,4.45,6.4,-60,10.84336,10.79906,Large
6.941,1.67,3.01,24.3,60,5.10209,5.09477,Large
91.224,2.06,3.64,17.9,41,,,Small
91.224,2.06,3.64,17.9,41,,,Small
63.546,1.45,4.48,6.7,119,9.76326,9.75377,Large
63.546,1.45,4.48,6.7,119,9.60108,9.5909,Large
63.546,1.45,4.48,6.7,119,9.7736,9.62684,Large
112.411,1.61,4.33,7.2,-70,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
140.115,1.85,3.1,29.6,635,8.00884,8.00884,Large
140.115,1.85,3.1,29.6,635,9.45259,9.42916,Large
65.39,1.42,4.45,6.4,-60,2.45516,2.45043,Small
63.546,1.45,4.48,6.7,119,2.53798,2.50073,Small
58.9332,1.52,4.3,7.5,64,7.33956,7.33956,Large
138.9055,1.95,3.1,31.1,45,2.43864,2.42059,Small
58.9332,1.52,4.3,7.5,64,7.07746,7.07746,Large
26.981539,1.18,3.23,8.3,42,,,Small
144.24,2.06,3.1,31.4,185,5.4258,5.3289,Small
144.24,2.06,3.1,31.4,185,3.54297,3.53759,Small
140.90765,2.47,3.1,28.2,93,5.43202,5.43202,Small
54.93805,1.61,3.72,9.4,-50,2.90435,2.90435,Small
58.9332,1.52,4.3,7.5,64,2.78623,2.78623,Small
39.0983,2.43,2.42,43.4,48,1.53541,1.53541,Small
22.989768,1.9,2.85,23.6,53,,,Small
207.2,1.54,3.9,6.8,34,3.07596,3.07596,Small
200.59,1.71,4.91,5.4,-50,3.44204,3.44204,Small
140.115,1.85,3.1,29.6,635,2.94861,2.94861,Small
65.39,1.42,4.45,6.4,-60,4.81354,4.81354,Small
22.989768,1.9,2.85,23.6,53,,,Small
54.93805,1.61,3.72,9.4,-50,2.77108,2.77058,Small
140.90765,2.47,3.1,28.2,93,,,Small
